timestamp,facility_id,facility_name,current,maximum,remaining,pct_full,page_last_update
2026-06-17T14:40:59,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,7:38 AM,64.4,0.0,0
2026-06-17T17:38:47,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,218,2500,2282,8.7,10:33 AM,76.9,0.0,0
2026-06-17T17:38:47,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,15,300,285,5.0,10:33 AM,76.9,0.0,0
2026-06-17T17:38:47,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,10:33 AM,76.9,0.0,0
2026-06-17T19:50:11,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,117,2500,2383,4.7,12:49 PM,86.2,0.0,0
2026-06-17T19:50:11,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,15,300,285,5.0,12:49 PM,86.2,0.0,0
2026-06-17T19:50:11,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,12:49 PM,86.2,0.0,0
2026-06-17T21:58:27,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,197,2500,2303,7.9,2:55 PM,87.4,0.0,0
2026-06-17T21:58:27,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,34,300,266,11.3,2:55 PM,87.4,0.0,0
2026-06-17T21:58:27,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,2:55 PM,87.4,0.0,0
2026-06-17T23:43:25,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,293,2500,2207,11.7,4:40 PM,86.6,0.0,0
2026-06-17T23:43:25,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,63,300,237,21.0,4:40 PM,86.6,0.0,0
2026-06-17T23:43:25,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,4:40 PM,86.6,0.0,0
2026-06-18T02:04:29,26541008-adb9-4943-897b-9eeb4e685e97,ARC Access,464,2500,2036,18.6,7:01 PM,80.7,0.0,0
2026-06-18T02:04:29,4990212a-d51b-4793-bbde-eeeb435b0aa6,Recreation Pool,72,300,228,24.0,7:01 PM,80.7,0.0,0
2026-06-18T02:04:29,ecd23993-65f6-4f59-9c98-730103abce7b,Rock Wall,8,25,17,32.0,7:01 PM,80.7,0.0,0
